"Season","Squad","Rk","Matches.played","Wins","Draws","Loses","Goals.for","Goals.against","Goal.difference","Points","Points.per.match","Expected.goals","Expected.goals.allowed","Expected.goals.difference","Expected.goals.difference.per.90.minutes","Attendance","Assists","Passes.completed","Passes.attempted","Short.passes.completed","Short.passes.attempted","Medium.passes.completed","Medium.passes.attempted","Long.passes.completed","Long.passes.attempted","Progressive.passes","Live.ball.passes","Dead.ball.passes","Passes.from.free.kicks","Through.balls","Switches","Crosses","Throw.in.taken","Corner.kicks","Corner.kicks.in","Corner.kicks.out","Corner.kicks.straight","Passes.offside","Passes.blocked","Passes.into.penalty.area","Shoots.total","Shoots.on.target","Average.shot.distance","Free.kick.shots","Shot.creating.actions","SCA.Live.ball.pass","SCA.Dead.ball.pass","SCA.Take.on","SCA.Shot","SCA.Fouls.drawn","SCA.Deffensive.action","Goal.creatiing.actions","GCA.Live.ball.pass","GCA.Dead.ball.pass","GCA.Take.on","GCA.Shot","GCA.Fouls.drawn","GCA.Deffensive.action","Penalty.kicks.attempted","Penalty.kicks.made","Tackles","Tackles.won","Tackles.def.3rd","Tackles.mid.3rd","Tackles.att.3rd","Dribblers.tackled","Dribblers.challenged","Challenges.lost","Blocks","Shots.blocked","Blocked.passes","Interceptions","Clearances","Errors","Ball.recoveries","Fouls.commited","Yellow.cards","Second.yellow.card","Red.cards","Own.goals","Cleansheets","Possession","Touches","Touches.def.pen","Touches.def.3rd","Touches.mid.3rd","Touches.att.3rd","Touches.att.pen","Takes.on.attempted","Takes.on.succesful","Times.tackled.during.take.on","Carries","Total.carrying.distance","Progressive.carrying.distance","Progressive.carries","Carries.into.final.third","Carreis.into.penalty.area","Miscontrols","Dispossessed","Fouls.drawn","Passes.recived","Progressive.passes.recived","Aerials.won","Aerial.lost","Age","Substitute.apperances","Matchehs.as.unused.sub"
"2018/2019","Newcastle Utd",13,"38","12","8","17","42","48","-6","45","1.18","39.1","53.6","-14.5","-0.38","51121","33","10774","15231","4812","5773","3758","4863","1584","3269","985","13359","1813","389","50","217","711","835","181","73","71","11","59","353","255","443","136","18.8","16","784","571","77","33","43","42","18","68","46","5","4","10","2","1","3","1","711","433","356","291","64","241","565","324","472","135","337","506","1217","1204","2034","423","57","0","2","1","11","40.4","20048","2360","7025","8767","4458","641","444","236","207","8749","46542","23595","467","410","95","590","400","332","10705","976","785","914","26.9","99","167"
"2018/2019","Bournemouth",14,"38","13","7","19","56","70","-14","45","1.18","53.3","57.2","-3.9","-0.10","10532","43","13505","17650","6643","7752","5284","6436","1261","2489","1435","15632","1961","512","57","84","613","832","191","74","58","2","57","435","330","437","153","17.4","16","788","558","83","46","39","47","15","99","64","9","8","6","9","3","9","7","525","299","285","185","55","216","494","278","405","152","253","371","896","1098","1910","340","60","0","1","3","10","46.9","22079","2437","7561","9507","5257","847","578","291","287","13210","69260","36536","738","532","172","565","356","441","13405","1422","701","736","26.6","104","162"
"2018/2019","Burnley",15,"38","11","6","20","45","68","-23","40","1.05","44.4","62.1","-17.7","-0.47","20534","32","10134","14793","4537","5520","3643","4790","1595","3463","1032","12804","1883","395","35","108","692","891","139","98","22","9","106","327","239","358","112","15.8","14","624","417","81","14","55","52","5","69","45","8","0","13","3","0","2","2","584","311","280","246","58","237","539","302","516","222","294","367","951","1156","1955","360","75","0","1","4","8","41.2","19189","2542","6104","8875","4395","634","370","207","163","7936","43013","21370","421","336","72","525","314","356","10031","1020","1016","1025","28.0","86","180"
"2018/2019","Southampton",16,"38","9","11","17","45","65","-20","39","1.03","46.9","55.1","-8.2","-0.22","30139","27","11463","15930","5615","6610","4317","5535","1241","2873","1333","14072","1797","409","35","139","666","805","193","97","63","22","61","349","260","479","155","18.9","20","819","565","73","49","62","47","23","77","54","3","3","6","7","4","5","4","698","428","335","283","80","277","646","369","533","153","380","549","1247","1128","2053","420","73","2","3","3","7","43.4","20812","2150","5984","9949","5087","709","508","287","221","9653","54428","27555","603","444","155","539","380","341","11354","1313","767","873","25.4","107","159"
"2018/2019","Brighton",17,"38","9","12","20","35","60","-25","36","0.95","35.3","59.1","-23.8","-0.63","30426","24","11491","15824","5120","6084","4413","5549","1639","3202","1150","13912","1822","330","15","188","636","880","156","90","44","4","90","342","223","364","99","17.9","12","647","427","87","40","35","45","13","55","29","9","1","7","8","1","6","5","679","391","363","238","78","264","582","318","415","170","245","463","1142","1001","1979","463","61","1","4","0","7","42.4","20254","2464","7030","9055","4366","581","516","269","247","10122","54122","26537","475","374","98","590","336","301","11393","1138","824","780","27.4","99","167"
"2018/2019","Cardiff City",18,"38","10","7","24","34","69","-35","34","0.89","42.4","61.5","-19.1","-0.50","31408","20","7170","11715","3143","4097","2540","3622","1160","2987","918","9823","1815","423","39","60","562","799","168","102","35","19","77","313","175","413","113","17.7","13","693","457","96","32","57","47","4","50","32","4","3","9","2","0","4","3","655","375","357","234","64","241","607","366","490","147","343","529","1184","1034","1975","374","66","0","1","0","10","35.4","16261","2228","5452","6544","4470","713","475","260","214","6221","39405","19337","434","310","135","519","332","390","7078","902","966","966","27.7","109","157"
"2018/2019","Fulham",19,"38","7","10","26","34","81","-47","26","0.68","41.3","68.2","-26.8","-0.71","24371","24","15096","19303","7060","7958","6054","7206","1538","3015","1487","17396","1817","412","33","145","611","769","161","57","62","7","90","339","233","451","140","19.0","10","814","601","73","47","56","28","9","59","42","3","6","5","3","0","3","2","596","362","310","231","55","224","524","300","425","144","281","434","1030","1030","2072","423","70","2","2","2","5","48.8","23757","2587","7287","11921","4743","592","566","352","214","10604","61784","30746","628","461","117","594","486","342","14992","1471","742","718","26.0","108","158"
"2018/2019","Huddersfield",20,"38","3","7","28","22","76","-54","16","0.42","28.8","60.9","-32.2","-0.85","23203","13","13045","17777","6045","7200","4765","6029","1792","3398","1248","15783","1931","444","22","130","768","930","162","80","55","11","63","418","208","400","116","19.1","15","683","487","74","27","43","37","15","33","23","4","0","3","3","0","1","1","708","425","323","315","70","263","625","362","496","130","366","531","1239","682","2063","420","56","1","4","1","5","47.2","21977","2079","6878","10026","5306","600","443","230","213","10888","56003","26785","601","496","108","567","399","370","12938","1233","844","807","26.2","107","159"
"2017/2018","Manchester City",1,"38","32","5","2","106","27","+79","100","2.63","78.6","23.8","+54.8","+1.44","54070","85","26164","29961","13122","14165","10259","11378","1810","2720","2570","28178","1716","418","118","213","691","779","284","17","141","2","67","404","525","656","254","17.8","30","1209","943","73","76","52","52","13","193","150","8","16","7","10","2","8","6","563","381","257","215","91","195","561","366","328","53","275","346","909","620","2104","344","62","2","1","2","18","71.0","33628","1767","6970","17205","9719","1255","732","503","228","21785","117099","66804","1308","973","331","553","406","354","26023","2550","512","418","26.4","106","158"
"2017/2018","Manchester Utd",2,"38","25","6","7","68","28","+40","81","2.13","55.7","40.7","+15.0","+0.40","74976","53","17765","21865","8463","9383","6387","7424","1751","3131","1564","19929","1848","456","85","176","753","809","220","111","65","1","88","398","357","509","170","18.4","21","916","699","54","69","45","38","11","117","81","6","12","12","5","1","3","1","564","369","275","218","71","173","555","382","382","112","270","481","1045","926","2133","405","57","0","2","2","19","54.7","25907","2212","6985","12031","7107","895","736","466","270","14201","79919","43760","920","695","217","512","399","422","17639","1547","617","493","26.7","111","155"
"2017/2018","Tottenham",3,"38","23","6","7","74","36","+38","77","2.03","64.7","33.9","+30.8","+0.81","67953","51","19284","23695","7604","8618","9105","10458","2278","3694","2249","21612","1995","483","83","196","825","948","246","95","89","7","88","437","394","620","209","18.4","28","1092","811","75","68","72","51","15","114","81","7","8","11","7","0","3","2","618","399","272","259","87","212","537","325","360","74","286","380","998","878","2142","384","50","1","2","1","16","61.8","27821","2080","7157","13466","7466","949","719","436","281","14767","80757","42259","862","642","180","534","460","394","19147","2228","605","583","25.8","108","157"
"2017/2018","Liverpool",4,"38","21","14","5","84","38","+46","75","1.97","72.9","33.8","+39.1","+1.03","53049","58","20367","24900","8322","9359","9546","10936","1998","3478","2236","23034","1796","391","106","146","764","896","230","122","69","1","70","382","464","635","226","17.7","22","1139","859","71","98","58","36","17","144","98","5","27","8","5","1","3","2","637","450","265","285","87","196","521","325","388","71","317","379","1016","788","2258","344","65","0","0","0","17","60.3","28759","1843","6993","14748","7291","1064","652","440","210","16418","88873","48496","982","690","235","574","447","305","20236","2218","585","650","25.6","111","155"
"2017/2018","Chelsea",5,"38","21","10","10","62","38","+24","70","1.84","54.4","33.8","+20.6","+0.54","41282","42","18967","23101","8564","9566","7753","8910","1892","3091","1998","21232","1761","445","69","203","755","748","230","54","76","7","108","405","398","603","210","17.9","20","1114","838","83","81","54","46","12","110","84","7","8","3","8","0","3","3","636","426","321","251","64","208","550","342","365","107","258","424","1060","842","2233","363","62","2","3","2","16","55.6","27165","2307","8084","12055","7334","988","734","513","221","16479","93989","51657","1045","699","238","533","414","405","18823","1969","602","506","26.7","109","157"
"2017/2018","Arsenal",6,"38","19","8","13","74","51","+23","63","1.66","68.3","47.8","+20.5","+0.54","59323","61","20878","25193","9800","10957","8683","9926","1749","2912","2223","23347","1757","432","117","151","572","758","225","132","49","4","89","413","478","589","223","17.9","30","1079","830","53","70","65","53","8","131","95","8","7","12","7","2","5","4","623","425","312","227","84","218","581","363","372","103","269","427","1050","879","2148","383","73","0","2","0","13","61.4","29146","2201","7494","13560","8306","1104","547","383","164","18631","95357","50346","915","805","214","540","412","377","20745","2210","630","660","26.8","101","165"
"2017/2018","Burnley",7,"38","14","7","12","36","39","-3","54","1.42","32.3","51.2","-18.9","-0.50","20688","26","10524","15340","4349","5306","4168","5417","1695","3719","1103","13382","1858","463","19","107","707","822","167","69","66","14","100","313","213","378","126","17.0","16","664","441","88","36","43","48","8","58","37","4","4","11","2","0","0","0","533","355","272","217","44","204","553","349","457","191","266","400","933","1300","1875","350","72","0","0","1","12","43.7","19452","2376","6334","8960","4332","589","345","218","127","8853","45635","22260","431","329","88","489","345","422","10419","1090","912","967","27.5","83","183"
"2017/2018","Everton",8,"38","13","6","15","44","58","-14","49","1.29","40.5","52.4","-11.9","-0.31","38797","26","11953","16472","5380","6360","4511","5598","1579","3385","1161","14537","1853","417","25","114","629","850","150","70","62","7","82","397","211","351","110","17.6","8","629","454","59","31","31","42","12","71","41","4","8","9","5","4","8","5","644","447","360","206","78","223","612","389","426","160","266","514","1158","1308","2046","460","52","2","5","0","10","45.5","20994","2427","7086","9205","4900","608","461","264","197","10177","52954","26650","477","352","105","616","381","364","11850","1152","760","852","26.7","114","152"
"2017/2018","Leicester City",9,"38","12","14","15","56","60","-4","47","1.24","50.0","48.1","+1.9","+0.05","31583","38","12357","17124","5532","6632","4543","5830","1720","3430","1271","15046","1986","424","63","170","744","954","203","137","28","0","92","370","225","417","137","17.6","11","731","495","83","63","45","38","7","94","68","8","6","5","7","0","6","5","630","417","332","249","49","208","616","408","465","130","335","414","1044","1007","2154","364","59","4","2","2","9","48.0","21322","2209","6497","10115","4964","673","718","422","294","10418","64343","32440","655","471","151","516","358","357","12216","1251","787","752","27.2","107","159"
"2017/2018","Newcastle Utd",10,"38","12","7","18","39","47","-8","44","1.16","41.6","52.4","-10.8","-0.28","51992","29","11071","15659","5153","6161","4100","5358","1385","3119","1145","13725","1871","444","67","114","616","837","167","75","58","8","63","355","220","450","146","19.2","21","781","561","72","45","44","39","20","63","43","7","2","10","1","0","1","0","645","426","338","255","52","221","638","417","475","117","358","441","1086","1219","2021","409","51","1","3","3","9","41.7","20180","2275","6899","8975","4531","601","535","304","230","9949","52745","27557","548","436","121","523","410","369","10963","1134","884","927","25.6","112","154"
"2017/2018","Crystal Palace",11,"38","11","12","16","45","55","-10","44","1.16","53.5","48.2","+5.2","+0.14","25063","26","11809","16114","5714","6694","4344","5524","1358","2967","1308","14109","1949","456","30","83","703","874","210","85","37","68","56","361","273","466","134","17.8","20","834","528","83","90","56","60","17","78","50","3","7","9","9","0","10","8","686","447","393","237","56","260","666","406","466","117","349","552","1238","1110","2156","425","63","0","2","2","9","45.2","20777","2192","6612","9120","5293","811","718","479","239","11461","62001","31023","727","526","213","618","482","404","11715","1297","752","708","27.1","73","191"
"2017/2018","Bournemouth",12,"38","11","11","16","45","61","-16","44","1.16","38.8","59.2","-20.4","-0.54","10641","36","13450","17962","5626","6838","5928","7241","1638","3176","1526","15874","2036","534","37","112","707","857","218","104","65","1","52","412","291","462","153","18.3","15","809","582","78","53","42","39","15","83","53","8","5","8","7","2","3","3","509","324","272","187","50","198","525","327","453","160","293","367","876","1129","1956","339","73","1","1","1","6","48.1","22240","2420","7636","9472","5366","780","638","343","291","11197","66091","33018","702","474","169","564","419","411","13346","1505","698","750","26.9","109","157"
"2017/2018","West Ham",13,"38","10","8","16","48","68","-20","42","1.11","36.7","55.1","-18.4","-0.48","56885","29","11779","16197","5113","6041","4678","5850","1633","3407","1179","14112","1988","482","51","134","733","900","161","98","37","5","97","396","233","368","127","18.2","17","657","457","64","57","23","49","7","79","51","5","9","7","5","2","4","2","621","410","327","238","56","235","620","385","437","154","283","482","1103","1085","2017","379","44","1","1","1","10","45.2","20454","2265","6198","9854","4647","591","642","423","218","10086","60796","27961","523","438","106","503","389","450","11655","1162","743","771","28.0","97","167"
"2017/2018","Watford",14,"38","11","7","19","44","64","-20","41","1.08","45.0","51.8","-6.8","-0.18","20231","27","12758","17513","6170","7329","4621","5948","1528","3090","1455","15484","1955","484","27","138","713","926","183","92","62","2","74","438","285","434","126","17.9","10","766","526","73","60","47","40","20","69","41","5","8","10","5","0","6","3","668","432","337","263","68","237","609","372","359","98","261","467","1135","997","2105","441","42","1","4","1","9","49.7","21692","2087","6318","10225","5377","783","565","332","233","11811","58427","29594","647","479","162","547","410","381","12635","1429","841","883","27.9","111","155"
"2017/2018","Brighton",15,"38","9","6","16","34","54","-20","40","1.05","37.0","50.8","-13.8","-0.36","30403","25","11838","16372","4898","5881","4601","5764","1872","3610","1230","14549","1725","322","32","203","680","797","163","89","59","5","98","355","193","377","110","18.3","4","684","489","73","46","37","31","8","60","43","3","4","4","6","0","7","5","599","380","360","205","34","205","642","437","430","190","240","449","1048","1182","2122","413","63","0","4","5","10","43.7","20478","2530","7473","8781","4463","594","487","299","188","10099","57499","29182","523","375","113","496","296","277","11749","1216","796","777","27.5","101","165"
"2017/2018","Huddersfield",16,"38","9","11","19","28","58","-30","37","0.97","31.3","48.5","-17.2","-0.45","24040","19","12036","16822","5283","6357","4787","6127","1549","3270","1210","14785","1970","478","26","82","765","927","165","101","32","6","67","415","180","360","106","18.8","14","621","443","52","39","35","36","16","45","29","4","6","3","3","0","2","2","743","502","354","306","83","249","630","381","453","118","335","518","1261","1129","2141","397","64","2","1","1","10","45.7","21340","2267","7032","9501","5064","533","491","276","215","10213","60650","29381","627","495","127","546","416","363","11895","1189","788","800","26.4","112","154"
"2017/2018","Southampton",17,"38","7","12","16","37","56","-19","36","0.95","39.9","45.2","-5.3","-0.14","30794","23","14336","19027","6923","7931","5463","6720","1497","3220","1609","17044","1910","423","56","169","800","862","227","130","65","7","73","423","288","447","136","18.1","11","799","590","71","54","42","32","10","65","40","5","9","6","5","0","3","3","658","454","342","250","66","244","605","361","455","128","327","462","1120","1034","2222","416","54","1","2","0","8","51.3","23169","2056","6325","11460","5644","700","531","379","151","13356","68599","36430","694","517","137","495","379","377","14215","1592","687","821","26.2","113","153"
"2017/2018","Swansea City",18,"38","8","7","21","28","56","-28","33","0.87","31.6","58.6","-27.0","-0.71","20623","20","13223","17437","5802","6660","5291","6513","1760","3374","1194","15500","1899","472","23","141","694","825","150","99","36","2","38","347","190","338","95","18.2","15","581","395","57","48","37","33","11","40","23","7","1","6","1","2","1","1","610","417","286","241","83","221","550","329","411","124","287","390","1000","1019","1877","377","55","0","1","2","9","45.3","21278","2441","7047","9908","4554","536","523","318","205","10613","62008","31717","596","451","111","503","439","400","13108","1174","687","769","27.2","109","157"
"2017/2018","Stoke City",19,"38","7","10","19","35","68","-33","33","0.87","36.5","62.5","-26.0","-0.69","29280","28","10122","14569","4435","5386","3825","5023","1514","3194","1150","12544","1938","460","33","111","598","875","136","73","46","11","87","320","230","380","122","18.1","11","669","463","69","41","44","41","11","62","39","8","4","7","3","1","3","0","678","437","370","252","56","228","600","372","424","142","282","461","1139","1265","1832","436","52","0","2","2","6","41.4","18935","2513","6385","8544","4268","596","507","325","182","9409","51906","25144","477","403","108","532","403","375","9994","1123","974","774","27.5","92","174"
"2017/2018","West Brom",20,"38","6","7","19","31","56","-25","31","0.82","36.5","47.9","-11.4","-0.30","24520","24","10495","15004","4694","5597","3898","5098","1590","3408","1106","13059","1866","394","34","96","784","855","176","122","32","11","79","348","228","377","111","17.7","15","649","449","78","40","33","38","11","51","35","6","4","3","3","0","1","1","603","385","336","204","63","218","625","407","420","148","272","470","1073","1087","2094","440","51","0","1","2","10","40.7","19184","2302","6698","8221","4468","586","527","321","205","9820","54221","26753","507","390","89","532","446","345","10384","1093","785","784","29.1","108","157"
